2021-12-03 01:44:52 [pool-2-thread-2] INFO  by.epam.task5.entitty.Base - pool-2-thread-2 released 2
2021-12-03 01:44:52 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 18 is waiting for terminal...
2021-12-03 01:44:52 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - Truck 18 got terminal 5
2021-12-03 01:44:52 [pool-2-thread-5] INFO  by.epam.task5.entitty.Terminal - Truck 18 is being unloaded... +18
2021-12-03 01:44:52 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 357
2021-12-03 01:44:52 [pool-2-thread-4] INFO  by.epam.task5.entitty.Terminal - Truck 22 is being loaded ... -20
2021-12-03 01:44:52 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 337
2021-12-03 01:44:52 [pool-2-thread-3] INFO  by.epam.task5.entitty.Base - pool-2-thread-3 released 3
2021-12-03 01:44:52 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 15 is waiting for terminal...
2021-12-03 01:44:52 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - Truck 15 got terminal 6
2021-12-03 01:44:52 [pool-2-thread-6] INFO  by.epam.task5.entitty.Terminal - Truck 15 is being unloaded... +15
2021-12-03 01:44:52 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 352
2021-12-03 01:44:53 [pool-2-thread-5] INFO  by.epam.task5.entitty.Terminal - Truck 18 is being loaded ... -20
2021-12-03 01:44:53 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 332
2021-12-03 01:44:53 [pool-2-thread-4] INFO  by.epam.task5.entitty.Base - pool-2-thread-4 released 4
2021-12-03 01:44:53 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 12 is waiting for terminal...
2021-12-03 01:44:53 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - Truck 12 got terminal 7
2021-12-03 01:44:53 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck 12 is being unloaded... +9
2021-12-03 01:44:53 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 341
2021-12-03 01:44:53 [pool-2-thread-6] INFO  by.epam.task5.entitty.Terminal - Truck 15 is being loaded ... -15
2021-12-03 01:44:53 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 326
2021-12-03 01:44:53 [pool-2-thread-5] INFO  by.epam.task5.entitty.Base - pool-2-thread-5 released 5
2021-12-03 01:44:53 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 10 is waiting for terminal...
2021-12-03 01:44:53 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - Truck 10 got terminal 8
2021-12-03 01:44:53 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck 10 is being unloaded... +8
2021-12-03 01:44:53 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 334
2021-12-03 01:44:53 [pool-2-thread-7] INFO  by.epam.task5.entitty.Terminal - Truck 12 is being loaded ... -10
2021-12-03 01:44:53 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 324
2021-12-03 01:44:53 [pool-2-thread-6] INFO  by.epam.task5.entitty.Base - pool-2-thread-6 released 6
2021-12-03 01:44:53 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 11 is waiting for terminal...
2021-12-03 01:44:53 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - Truck 11 got terminal 9
2021-12-03 01:44:53 [pool-2-thread-9] INFO  by.epam.task5.entitty.Terminal - Truck 11 is being unloaded... +10
2021-12-03 01:44:53 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 334
2021-12-03 01:44:53 [pool-2-thread-8] INFO  by.epam.task5.entitty.Terminal - Truck 10 is being loaded ... -10
2021-12-03 01:44:53 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 324
2021-12-03 01:44:53 [pool-2-thread-7] INFO  by.epam.task5.entitty.Base - pool-2-thread-7 released 7
2021-12-03 01:44:54 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 13 is waiting for terminal...
2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - Truck 13 got terminal 10
2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Terminal - Truck 13 is being unloaded... +12
2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 336
2021-12-03 01:44:54 [pool-2-thread-9] INFO  by.epam.task5.entitty.Terminal - Truck 11 is being loaded ... -10
2021-12-03 01:44:54 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 326
2021-12-03 01:44:54 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - pool-2-thread-8 released 8
2021-12-03 01:44:54 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 14 is waiting for terminal...
2021-12-03 01:44:54 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - Truck 14 got terminal 1
2021-12-03 01:44:54 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck 14 is being unloaded... +14
2021-12-03 01:44:54 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 340
2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Terminal - Truck 13 is being loaded ... -15
2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 325
2021-12-03 01:44:54 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - pool-2-thread-9 released 9
2021-12-03 01:44:54 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 16 is waiting for terminal...
2021-12-03 01:44:54 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - Truck 16 got terminal 2
2021-12-03 01:44:54 [pool-2-thread-12] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being unloaded... +7
2021-12-03 01:44:54 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 332
2021-12-03 01:44:54 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck 14 is being loaded ... -15
2021-12-03 01:44:54 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 317
2021-12-03 01:44:54 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - pool-2-thread-10 released 10
2021-12-03 01:44:54 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 17 is waiting for terminal...
2021-12-03 01:44:54 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - Truck 17 got terminal 3
2021-12-03 01:44:54 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck 17 is being unloaded... +20
