2021-12-07 23:51:00 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 185
2021-12-07 23:51:00 [pool-2-thread-8] INFO  by.epam.task5.entitty.Base - pool-2-thread-8 released 2
2021-12-07 23:51:00 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck 14 is being loaded ... -15
2021-12-07 23:51:00 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 170
2021-12-07 23:51:00 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 19 is waiting for terminal...
2021-12-07 23:51:00 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - Truck 19 got terminal 2
2021-12-07 23:51:00 [pool-2-thread-14] INFO  by.epam.task5.entitty.Terminal - Truck 19 is being unloaded... +20
2021-12-07 23:51:00 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 190
2021-12-07 23:51:00 [pool-2-thread-9] INFO  by.epam.task5.entitty.Base - pool-2-thread-9 released 3
2021-12-07 23:51:00 [pool-2-thread-12] INFO  by.epam.task5.entitty.Terminal - Truck 16 is being loaded ... -15
2021-12-07 23:51:00 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 175
2021-12-07 23:51:00 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 20 is waiting for terminal...
2021-12-07 23:51:00 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - Truck 20 got terminal 3
2021-12-07 23:51:00 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck 20 is being unloaded... +19
2021-12-07 23:51:00 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 194
2021-12-07 23:51:01 [pool-2-thread-10] INFO  by.epam.task5.entitty.Base - pool-2-thread-10 released 4
2021-12-07 23:51:01 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck 17 is being loaded ... -20
2021-12-07 23:51:01 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 174
2021-12-07 23:51:01 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 21 is waiting for terminal...
2021-12-07 23:51:01 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - Truck 21 got terminal 4
2021-12-07 23:51:01 [pool-2-thread-16] INFO  by.epam.task5.entitty.Terminal - Truck 21 is being unloaded... +20
2021-12-07 23:51:01 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 194
2021-12-07 23:51:01 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - pool-2-thread-11 released 5
2021-12-07 23:51:01 [pool-2-thread-14] INFO  by.epam.task5.entitty.Terminal - Truck 19 is being loaded ... -20
2021-12-07 23:51:01 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 174
2021-12-07 23:51:01 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 23 is waiting for terminal...
2021-12-07 23:51:01 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - Truck 23 got terminal 5
2021-12-07 23:51:01 [pool-2-thread-17] INFO  by.epam.task5.entitty.Terminal - Truck 23 is being unloaded... +10
2021-12-07 23:51:01 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 184
2021-12-07 23:51:01 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - pool-2-thread-12 released 6
2021-12-07 23:51:01 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck 20 is being loaded ... -20
2021-12-07 23:51:01 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 164
2021-12-07 23:51:01 [main] INFO  by.epam.task5.entitty.TruckQueue - Truck 25 is waiting for terminal...
2021-12-07 23:51:01 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - Truck 25 got terminal 6
